"ftabindex","flistindex","fvisible","FID","FClassTypeID","FPage","FCaption_CHS","FCaption_CHT","FCaption_EN","FKey","FFieldName","FTableName","FTableNameAs","FListIndex","FListClassName","FVisible","FEnable","FNeedSave","FMustInput","FCtlType","FProperty","FLookUpType","FLookUpClassID","FLookUpList","FSRCFieldName","FSRCTableName","FSRCTableNameAs","FDSPFieldName","FFNDFieldName","FValueLocation","FFilter","FFilterGroup","FValueType","FDspColType","FEditlen","FValuePrecision","FSaveRule","FDefValue","FAction","FUserDefine","FNote","FKeyWord","FLeft","FTop","FHeight","FWidth","FCondition","FTabIndex","FLock","FSum","FPrec","FScale","FLayer","FLoadAction","FUnControl","FFont","FSourceType","FSubKey","FParentKey","FConditionExt","FFrameBorder","FFrameBorderColor","FLabelWidth","FLabelColor","FTextColor","FIsF7","FContainer","FStyle"
"75","107","782","14009","1007006","2","更新价格标志","更新價格標誌","Update Price Sign","FPriceUpdated","FPriceUpdated","PORFQEntry",,"107","0","782","0","true","false","8",,"0","0","VALUELIST{1=Y}",,,,,,"1",,,"48","500","1","1",,,,"false",,,"120","1695","350","660","5","75","-1","false","3","0","0",,"8242",,"9",,,"0","2","0","0","0","0","0",,"0"
"34","34","831","14697","1007006","1","打印次数","列印次數","Print Times","FPrintCount","FPrintCount","PORFQ",,"34","2","831","0","true","true","3",,"0","0","Min=0",,,,,,"1",,,"56","10","30","4",,"0",,"false",,"PRINTCOUNT","472","15","480","2025","1","34","-1","false","0","0","0",,"8192",,"20",,,"0","2","0","0","0","0","0",,"0"
"24","62","12","13978","1007006","2","基本单位数量","基本單位數量","Qty (BUoM)","FQty","FQty","PORFQEntry",,"62","0","12","-1","false","false","2","FAuxQty","0","0",,,,,,,"1",,,"106","2","13","13",,,,"false",,"QTY","0","0","350","810","1,13","24","-1","true","13","10","0",,"8208",,"17",,,"0","2","0","0","0","0","0",,"0"
"37","43","12","13980","1007006","2","基本单位数量段(从)","基本單位數量段(從)","Qty Segment in BUoM (from)","FQtyFrom","FQtyFrom","PORFQEntry",,"43","0","12","-1","false","false","2","FAuxQtyFrom","0","0",,,,,,,"1",,,"106","2","13","13",,,,"false",,"QTY","0","0","350","1260","1,13","37","-1","true","13","10","0",,"8208",,"17",,,"0","2","0","0","0","0","0",,"0"
"38","118","12","13982","1007006","2","基本单位数量段(到)","基本單位數量段(到)","Qty Segment in BUoM (to)","FQtyTo","FQtyTo","PORFQEntry",,"118","0","12","-1","false","false","2","FAuxQtyTo","0","0",,,,,,,"1",,,"106","2","13","13",,,,"false",,"QTY","0","0","350","1005","1,13","38","-1","true","13","10","0",,"8208",,"17",,,"0","2","0","0","0","0","0",,"0"
"67","99","12","14001","1007006","2","自定义不计入成本费用1","自定義不計入成本費用1","Custom Expense not Included in Cost 1","FSelfDefinePrice1","FSelfDefinePrice1","PORFQEntry",,"99","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","9","13",,,,"false",,"PRICE","0","0","350","1050","1,13","67","20","false","9","2","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"68","100","12","14002","1007006","2","自定义不计入成本费用2","自定義不計入成本費用2","Custom Expense not Included in Cost 2","FSelfDefinePrice2","FSelfDefinePrice2","PORFQEntry",,"100","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","9","13",,,,"false",,"PRICE","0","0","350","1050","1,13","68","20","false","9","2","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"69","101","12","14003","1007006","2","自定义不计入成本费用3","自定義不計入成本費用3","Custom Expense not Included in Cost 3","FSelfDefinePrice3","FSelfDefinePrice3","PORFQEntry",,"101","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","9","13",,,,"false",,"PRICE","0","0","350","1050","1,13","69","20","false","9","2","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"70","102","12","14004","1007006","2","自定义不计入成本费用4","自定義不計入成本費用4","Custom Expense not Included in Cost 4","FSelfDefinePrice4","FSelfDefinePrice4","PORFQEntry",,"102","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","9","13",,,,"false",,"PRICE","0","0","350","1080","1,13","70","20","false","9","2","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"3","3","253","13955","1007006","1","源单编号","源單編號","Source Doc No.","FSourceBillNo","FSourceBillNo","PORFQ",,"3","2","253","0","false","false","1",,"0","0",,,,,,,"1",,,"231","500","50","50",,,,"false",,,"2639","1014","375","2145","-1","3","16","false","0","0","0",,"12288",,"16",,,"0","2","0","1000","0","0","0",,"0"
"2","2","253","13954","1007006","1","源单类型","源單類型","Source Doc Type","FSourceBillType","FSourceBillType","PORFQ",,"2","2","253","0","false","false","8",,"0","0",,,,,,,"1",,,"231","500","255","255",,,,"false",,,"2639","615","375","2145","-1","2","16","false","0","0","0",,"12288",,"15",,,"0","2","0","1000","0","0","0",,"0"
"38","38","1806","13964","1007006","1","审核标志","審核標誌","Approval Flag","FStatus","FStatus","PORFQ",,"38","2","1806","0","true","false","8",,"0","0","VALUELIST{1=Y}",,,,,,"1",,,"52","500","2","2",,,,"false",,,"105","0","375","100","5","38","-1","false","5","0","0",,"8226",,"9",,,"0","2","0","1000","0","0","0",,"0"
"21","60","3071","13993","1007006","2","税额","稅額","Tax Amount","FTaxAmount","FTaxAmount","PORFQEntry",,"60","0","3071","0","true","false","2","FCurrencyID","0","0",,,,,,,"1",,,"106","6","13","13",,,,"false",,"AMOUNT","0","0","350","930","1,13","21","-1","true","13","2","0",,"8208",,"0",,,"0","2","0","0","0","0","0",,"0"
"5","41","2047","22575","1007006","2","客户对应物料代码","客户对应物料代码","FCusItemID","FText","FCusItemID","PORFQEntry",,"41","2","2047","0","true","false","1",,"0","0",,,,,"FName",,"1",,,"231","500","100","100",,"-",,"true",,,"0","0","350","1245","0,13","5","24","false","0","0","0",,"24595",,"0",,,"0","2","0","0","0","0","0",,"0"
"6","45","2047","22576","1007006","2","客户对应物料名称","客户对应物料名称","FCusItemName","FText1","FCusItemName","PORFQEntry",,"45","2","2047","0","true","true","1",,"0","0",,,,,"FName",,"1",,,"231","500","255","255",,"-",,"true",,,"0","0","350","1275","0,13","6","24","false","0","0","0",,"24595",,"0",,,"0","2","0","0","0","0","0",,"0"
"40","37","12","13967","1007006","1","业务代码","業務代碼","Business Code","FTranType","FTranType","PORFQ",,"37","2","12","0","true","false","3",,"0","0",,,,,,,"1",,,"56","500","255","4",,"84",,"false",,,"120","60","285","100","1,13","40","20","false","0","10","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"13","52","4095","13981","1007006","2","单位","單位","Unit of Measure (UoM)","FUnitID","FUnitID","PORFQEntry",,"52","0","4095","0","true","true","1","FItemNumber.FUnitGroupID","6","7",,"FItemID","t_Measureunit",,"FName","FNumber","1",,"0","56","500","255","4",,,"UnitExchange{FAuxQty,FAuxPrice,FAuxPriceIncludeTax,FAuxQtyFrom,FAuxQtyTo}","false",,,"5158","7738","346","690","0","13","20","false","0","10","0",,"13843",,"1",,,"0","2","0","0","0","0","0",,"0"
"4","4","3071","14685","1007006","1","版本号   ","版本號","Version No.","FVersionNo","FVersionNo","PORFQ",,"4","2","3071","0","true","true","1",,"0","0",,,,,"FName",,"1",,,"231","500","20","20",,"000",,"false",,,"5173","615","375","2145","0,13","4","-1","false","0","0","0",,"8211",,"0",,,"0","2","0","1000","0","0","0",,"0"

