FID,FClassTypeID,FClassActionID,FObject,FCaption_CHS,FDefineType,FSourceType,FSourceField,FAction,FAction,FExpression,FOrder,FDescription,Descriptions
54554,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,"FDescount=100-100*FDecimal23/(1-FDecimal18/100)*(1+FCess/100)/(1-FDecimal5/100)/(1-FDecimal6/100)/FAuxPriceIncludeTax/FDecimal4
","折扣率=100-100*总成本/(1-公司最终报价利润率%/100)*(1+税率/100)/(1-质量赔偿金折扣率%/100)/(1-返点%/100)/含税单价/报价汇率
",,3,值更新事件,
54555,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,4,值更新事件,
54556,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,5,值更新事件,
54557,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,6,值更新事件,
54558,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,7,值更新事件,
54559,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,8,值更新事件,
54560,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,9,值更新事件,
54561,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient,基本单位单价=含税单价/(1+税率/100)/单位.FCoefficient,,10,值更新事件,
54562,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,FDecimal10=FAuxPriceIncludeTax*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23,利润=含税单价*报价汇率*(1-返点%/100)*(1-质量赔偿金折扣率%/100)/(1+税率/100)-总成本,,11,值更新事件,
54563,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,"FDecimal11=100-100*FDecimal23*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)
","利润率%=100-100*总成本*(1+税率/100)/(含税单价*(1-返点%/100)*(1-质量赔偿金折扣率%/100)*报价汇率)
",,12,值更新事件,
54564,1007006,14,FAuxPriceIncludeTax,含税单价,0,4096,FAction,FDecimal12,客户目标价,,13,值更新事件,
54565,1007006,9,FAuxQTY,数量,0,4096,FSaveRule,"FAuxQTY>0,CHS=产品的FAuxQTY必须大于零。@CHT=產品的數量必須大于零。@EN=the Quantity of Product must be more than zero.@,0","数量>0,CHS=产品的数量必须大于零。@CHT=產品的數量必須大于零。@EN=the Quantity of Product must be more than zero.@,0",,1,保存规则,
54566,1007006,2,FAuxQTY,数量,32768,4096,FAction,FQty=FAuxQTY*FUnitID.FCoefficient,基本单位数量=数量*单位.FCoefficient,,1,值更新事件,
54567,1007006,2,FAuxQTY,数量,0,4096,FAction,FDecimal21=FCustID.F_123,木托盘缠绕膜成本=购货单位.F_123,,2,值更新事件,
54568,1007006,14,FAuxQTY,数量,0,4096,FAction,"FDecimal15,FDecimal16","RMB产品控制利润率%,USD产品控制利润率%",,3,值更新事件,
54569,1007006,2,FAuxQTY,数量,32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,4,值更新事件,
54570,1007006,2,FAuxQTY,数量,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,5,值更新事件,
54571,1007006,2,FAuxQTY,数量,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,6,值更新事件,
54572,1007006,2,FAuxQTY,数量,32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,7,值更新事件,
54573,1007006,2,FAuxQTY,数量,32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,8,值更新事件,
54574,1007006,2,FAuxQTYFrom,数量段(从),0,4096,FAction,FQtyFrom=FAuxQTYFrom*FUnitID.FCoefficient,基本单位数量段(从)=数量段(从)*单位.FCoefficient,,1,值更新事件,
54575,1007006,2,FAuxQTYTo,数量段(到),0,4096,FAction,FQtyTo=FAuxQTYTo*FUnitID.FCoefficient,基本单位数量段(到)=数量段(到)*单位.FCoefficient,,1,值更新事件,
