"FID","FClassTypeID","FPage","FCaption_CHS","FCaption_CHT","FCaption_EN","FKey","FFieldName","FTableName","FTableNameAs","FListIndex","FListClassName","FVisible","FEnable","FNeedSave","FMustInput","FCtlType","FProperty","FLookUpType","FLookUpClassID","FLookUpList","FSRCFieldName","FSRCTableName","FSRCTableNameAs","FDSPFieldName","FFNDFieldName","FValueLocation","FFilter","FFilterGroup","FValueType","FDspColType","FEditlen","FValuePrecision","FSaveRule","FDefValue","FAction","FUserDefine","FNote","FKeyWord","FLeft","FTop","FHeight","FWidth","FCondition","FTabIndex","FLock","FSum","FPrec","FScale","FLayer","FLoadAction","FUnControl","FFont","FSourceType","FSubKey","FParentKey","FConditionExt","FFrameBorder","FFrameBorderColor","FLabelWidth","FLabelColor","FTextColor","FIsF7","FContainer","FStyle"
"13953","1007006","1","币别","幣別","Currency","FCurrencyID","FCurrencyID","PORFQ",,"5","2","4095","0","true","true","1",,"5","120",,"FCurrencyID","t_Currency",,"FName","FNumber","1",,"0","56","500","255","4",,,"TrigAction{FDecimal15,FDecimal16,FBase3}","false",,,"3294","1832","375","2835","0","5","20","false","0","10","0","LockField{FCurrencyID=1,FExchangeRate=1,FExchangeRate=0,ClearFieldValue=0}","13843",,"1",,,"0","2","0","1000","0","0","0",,"0"
"13950","1007006","1","购货单位","購貨單位","Customer","FCustID","FCustID","PORFQ",,"2","2","4095","0","true","true","1",,"1","1",,"FItemID","t_Organization",,"FName","FNumber","1",,"0","56","500","255","4",,,"TakeBaseData{FCURRENCYID=FCYID,FBASEPROPERTY2,FBaseProperty4}:{ME.FCyID<>0}|TakeBaseData{FPAYCONDITION=FPAYCONDITION,FDECIMAL8=F_116,FDECIMAL22=F_122,FDECIMAL6=F_115,FDECIMAL5=F_121,FBASE2=F_125}|TakeBaseData{FDEPTID=FDEPARTMENT,FEMPID=FEMPLOYEE}","false",,,"105","1031","375","2835","0","2","20","false","0","10","0",,"13843",,"1",,,"0","2","0","1000","0","0","0",,"0"
"14005","1007006","2","客户物料名称","客戶物料名稱","Customer Material Name","FCustMtrlName","FCustMtrlName","PORFQEntry",,"90","0","12","0","true","false","1",,"0","0",,,,,"FName",,"1",,,"231","500","255","255",,,,"false",,,"0","0","350","1140","0,13","49","20","false","0","0","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"14006","1007006","2","客户物料图号","客戶物料圖號","Customer Drawing No.","FCustMtrlNo","FCustMtrlNo","PORFQEntry",,"91","0","12","0","true","false","1",,"0","0",,,,,"FName",,"1",,,"231","500","255","255",,,,"false",,,"0","0","350","1170","0,13","50","20","false","0","0","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"13949","1007006","1","日期","日期","Date","FDate","FDate","PORFQ",,"1","2","4095","0","true","true","0",,"0","0",,,,,,,"1",,,"61","0","8","8",,,,"false",,,"12552","7305","375","2505","2,13","1","20","false","3","23","0",,"13826",,"0",,,"0","2","0","1000","0","0","0",,"0"
"22577","1007006","2","生效日期","生效日期","FBegDate","FDate1","FBegDate","PORFQEntry",,"79","2","2047","0","true","true","0",,"0","0",,,,,,,"1",,,"61","0","8","8",,,,"true",,,"0","0","350","1365","2,13","38","24","false","3","23","0",,"24577","FontName=宋体|FontSize=9|FontBold=True|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"22578","1007006","2","失效日期","失效日期","FEndDate","FDate2","FEndDate","PORFQEntry",,"80","2","2047","0","true","true","0",,"0","0",,,,,,,"1",,,"61","0","8","8",,,,"true",,,"0","0","350","1215","2,13","39","24","false","3","23","0",,"24577","FontName=宋体|FontSize=9|FontBold=True|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26212","1007006","2","体积","小數","Decimal","FDecimal","Fsize","PORFQEntry",,"97","2","2047","0","true","false","2",,"0","0","Min=0 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","885","1,13","57","24","false","28","4","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26221","1007006","2","运费税率","小數1","Decimal1","FDecimal1","Ftranrate","PORFQEntry",,"98","2","2047","0","true","false","2",,"0","0","Min=0 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","690","1,13","58","24","false","28","4","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26234","1007006","2","利润","小數10","fGain","FDecimal10","FGain","PORFQEntry",,"65","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","945","1,13","24","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26235","1007006","2","利润率%","小數11","Decimal10","FDecimal11","FrateGain","PORFQEntry",,"66","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","870","1,13","25","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26236","1007006","2","客户目标价","小數12","Decimal11","FDecimal12","FpricByCustom","PORFQEntry",,"68","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,"Calculate{FDecimal13=FDecimal12*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23}|Calculate{FDecimal14=100-100*FDecimal23*(1+FCess/100)/(FDecimal12*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)
}:{FDecimal12>0}","true",,,"0","0","350","1035","1,13","27","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26237","1007006","2","目标价利润","小數13","Decimal12","FDecimal13","FGainByCustom","PORFQEntry",,"69","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","975","1,13","28","-1","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26238","1007006","2","目标价利润%","小數14","Decimal13","FDecimal14","FrateByCustom","PORFQEntry",,"70","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","975","1,13","29","-1","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26240","1007006","2","RMB产品控制利润率%","小數15","Decimal14","FDecimal15","FrateGainByPrdCTLRMB","PORFQEntry",,"105","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,"Calculate{FDecimal18=FDecimal8}:{FCurrencyID=1 and FDecimal8>=FDecimal15}|Calculate{FDecimal18=FDecimal15}:{FCurrencyID=1 and FDecimal8 < FDecimal15}","true",,,"0","0","350","1305","1,13","65","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26241","1007006","2","USD产品控制利润率%","小數16","Decimal15","FDecimal16","FrateGainByPrdCTLUSD","PORFQEntry",,"106","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,"Calculate{FDecimal18=FDecimal8}:{FCurrencyID=1000 and FDecimal8>=FDecimal16}|Calculate{FDecimal18=FDecimal16}:{FCurrencyID=1000 and FDecimal8 < FDecimal16}","true",,,"0","0","350","1050","1,13","66","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26341","1007006","1","贷款年利率（%）","小數17","Decimal16","FDecimal17","FRateLendYear","PORFQ",,"38","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","13","13",,,"TrigAction{FAuxPrice}","true",,,"9810","1030","375","2835","1,13","62","24","false","13","4","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","16711680","0","0",,"0"
"26242","1007006","2","公司最终报价利润率%","小數18","Decimal17","FDecimal18","FrateGainByComFinalPric","PORFQEntry",,"73","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,"TrigAction{FAuxPrice,FBase}","true",,,"0","0","350","1275","1,13","32","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26243","1007006","2","产品累计销售数量","小數19","Decimal18","FDecimal19","FsaledQtyByModel","PORFQEntry",,"107","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","1140","1,13","67","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26222","1007006","2","运费标准单价(含税）","小數2","Decimal2","FDecimal2","Ftranprice","PORFQEntry",,"99","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","1215","1,13","59","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26244","1007006","2","客户累计销售数量","小數20","Decimal19","FDecimal20","FsaledQtyByCust","PORFQEntry",,"108","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,"0",,"true",,,"0","0","350","1320","1,13","68","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26246","1007006","2","木托盘缠绕膜成本","小數21","Decimal20","FDecimal21","FcostChanRaoMe","PORFQEntry",,"103","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","990","1,13","63","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26344","1007006","1","客户账期     ","小數22","Decimal21","FDecimal22","FCustPayDelay","PORFQ",,"41","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","13","13",,,"TrigAction{FAuxPrice}","true",,,"6535","1431","375","2835","1,13","65","24","false","13","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","10485760","0","0",,"0"
"26355","1007006","2","总成本","小數23","Decimal22","FDecimal23","FsumCost","PORFQEntry",,"104","2","2047","0","true","false","2",,"0","0","Min=-99999.9999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","2500","1,13","64","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26223","1007006","2","运费（含税）","小數3","Decimal3","FDecimal3","Ftranamt","PORFQEntry",,"100","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","885","1,13","60","24","false","28","4","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26343","1007006","1","报价汇率","小數4","Decimal4","FDecimal4","FqutoeExchRate","PORFQ",,"40","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","13","13",,,,"true",,,"6535","2233","375","2835","1,13","64","24","false","13","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","10485760","0","0",,"0"
"26331","1007006","1","质量赔偿金折扣率%","小數5","Decimal5","FDecimal5","FUncountRateQulity","PORFQ",,"32","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"9810","1431","375","2835","1,13","56","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","10485760","0","0",,"0"
"26332","1007006","1","返点%","小數6","Decimal6","FDecimal6","FUncountRateReturn","PORFQ",,"33","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"9810","1832","375","2835","1,13","57","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","10485760","0","0",,"0"
"26229","1007006","2","出厂成本_不含运费","小數7","Decimal7","FDecimal7","FStdCOST","PORFQEntry",,"101","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","1170","1,13","61","24","false","28","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"26340","1007006","1","客户指导利润率（%）","小數8","Decimal8","FDecimal8","FrateGainByCustPly","PORFQ",,"37","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","13","13",,,"TrigAction{FDecimal15,FDecimal16}","true",,,"9810","2233","375","2835","1,13","61","24","false","13","2","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","10485760","0","10485760","0","0",,"0"
"26233","1007006","2","账期财务成本","小數9","Decimal9","FDecimal9","FcostFinance","PORFQEntry",,"102","2","2047","0","true","false","2",,"0","0","Min=-9999999999999.9999999999 | Max=9999999999999.9999999999",,,,,,"1",,,"106","9","20","13",,,,"true",,,"0","0","350","1035","1,13","62","24","false","28","6","0",,"24593","FontName=宋体|FontSize=9|FontBold=False|FontItalic=True|","0",,,"0","2","0","0","0","0","0",,"0"
"13960","1007006","1","部门","部門","Dept","FDeptID","FDeptID","PORFQ",,"13","2","4095","0","true","true","1",,"1","2",,"FItemID","t_Department",,"FName","FNumber","1",,,"56","500","255","4",,,,"false",,,"4289","7305","375","1620","0,17","12","20","false","0","10","0",,"13843",,"1",,,"0","2","0","750","0","0","0",,"0"
