"FID","FClassTypeID","FClassActionID","FObject","FDefineType","FSourceType","FSourceField","FAction","FExpression","FOrder","FDescription"
"28973","1007006","2","FBase","0","4096","FAction","FDecimal18=FDecimal17*FDecimal16",,"4","值更新事件"
"28974","1007006","14","FBase","0","4096","FAction","FAuxPrice",,"5","值更新事件"
"28975","1007006","1","FBase3","0","4096","FAction","FDecimal4=F_101",,"1","值更新事件"
"28976","1007006","100030","FBase4","0","4096","FAction","FBase4,FCurrencyID,FDate,FDecimal5",,"1","值更新事件"
"28977","1007006","2","FCess","32768","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)","@SysProfileIsTaxInPrc=1","1","值更新事件"
"28978","1007006","2","FCess","0","4096","FAction","FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)","@SysProfileIsTaxInPrc=0","2","值更新事件"
"28979","1007006","2","FCess","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"3","值更新事件"
"28980","1007006","2","FCess","32768","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"4","值更新事件"
"28981","1007006","2","FCess","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"5","值更新事件"
"28982","1007006","2","FCess","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"28983","1007006","2","FCess","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"28984","1007006","14","FCurrencyID","0","4096","FAction","FBase4,FDecimal23,FDecimal24",,"1","值更新事件"
"28985","1007006","1","FCustID","32768","4096","FAction","FCURRENCYID=FCYID,FBASEPROPERTY2","ME.FCyID<>0","1","值更新事件"
"28986","1007006","1","FCustID","32768","4096","FAction","FPAYCONDITION=FPAYCONDITION",,"2","值更新事件"
"28987","1007006","1","FCustID","32768","4096","FAction","FDEPTID=FDEPARTMENT,FEMPID=FEMPLOYEE",,"3","值更新事件"
"28988","1007006","100007","FCustID","32768","4096","FAction","Para=[P_SystemType=1,P_CompanyType=0,P_CompanyID=FCustID,P_ICItemID=FItemNumber];Return=[P_TaxRate=FCess];BOSAction=[BSA_FillRowType=-2,BSA_ReadRowType=-2]",,"4","值更新事件"
"28989","1007006","2","FDescount","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"1","值更新事件"
"28990","1007006","2","FDescount","0","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"2","值更新事件"
"28991","1007006","2","FDescount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","3","值更新事件"
"28992","1007006","2","FDescount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","4","值更新事件"
"28993","1007006","2","FDescount","0","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"5","值更新事件"
"28994","1007006","2","FDescount","0","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"6","值更新事件"
"28995","1007006","1","FEmpID","0","4096","FAction","FBASEPROPERTY3,FBaseProperty4",,"1","Add by Function SetSouceAction"
"28996","1007006","9","FExchangeRate","0","4096","FSaveRule","FExchangeRate>0,CHS=汇率必须大于0!@CHT=匯率必須大於0!@EN=Exchange rate must be greater than 0 !@,0",,"1","保存规则"
"28997","1007006","21","FItemNumber","32768","4096","FAction","FItemNumber",,"1","Add by Function SetSouceAction"
"29003","1007006","5","FItemNumber","0","4096","FLoadAction","FAUXPRICE,FAUXQTY,FAUXQTYFROM,FAUXQTYTO,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE1,FPRICE,FQTY,FQTYFROM,FQtyTo",,"1","Add by Function SetSouceAction"
"28998","1007006","1","FItemNumber","32768","4096","FAction","FITEMNAME,FMODEL,FBASEUNIT,FUNITID=FSALEUNITID,FBASEPROPERTY,FBaseProperty1",,"2","Add by Function SetSouceAction"
"29004","1007006","8","FItemNumber","0","4096","FLoadAction","ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0",,"2","加载更新事件"
"28999","1007006","5","FItemNumber","32768","4096","FAction","FAUXPRICE,FAUXQTY,FAUXQTYFROM,FAUXQTYTO,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE1,FPRICE,FQTY,FQTYFROM,FQtyTo",,"3","Add by Function SetSouceAction"
"29000","1007006","8","FItemNumber","32768","4096","FAction","ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0",,"4","值更新事件"
"29001","1007006","100007","FItemNumber","32768","4096","FAction","Para=[P_SystemType=1,P_CompanyType=0,P_CompanyID=FCustID,P_ICItemID=FItemNumber];Return=[P_TaxRate=FCess];BOSAction=[BSA_FillRowType=-1,BSA_ReadRowType=-1]",,"5","值更新事件"
